Year,Sport,Discipline,Medal,Country,Author,AuthorId
2012,ARC,mens-team,Silver,USA,United States,
2012,ARC,mens-team,Bronze,KOR,South Korea,
2008,ARC,mens-team,Gold,KOR,South Korea,
2008,ARC,mens-team,Silver,ITA,Italy,
2008,ARC,mens-team,Bronze,CHN,China,
2004,ARC,mens-team,Gold,KOR,South Korea,
2004,ARC,mens-team,Silver,TPE,Chinese Taipei,
2004,ARC,mens-team,Bronze,UKR,Ukraine,
2000,ARC,mens-team,Gold,KOR,South Korea,
2000,ARC,mens-team,Silver,ITA,Italy,
2000,ARC,mens-team,Bronze,USA,United States,
1996,ARC,mens-team,Gold,USA,United States,
1996,ARC,mens-team,Silver,KOR,South Korea,
1996,ARC,mens-team,Bronze,ITA,Italy,
1992,ARC,mens-team,Gold,ESP,Spain,
1992,ARC,mens-team,Silver,FIN,Finland,
1992,ARC,mens-team,Bronze,GBR,Great Britain,
1988,ARC,mens-team,Gold,KOR,South Korea,
1988,ARC,mens-team,Silver,USA,United States,
1988,ARC,mens-team,Bronze,GBR,Great Britain,
1904,ARC,womens-double-columbia-round,Gold,USA,Lida Howell,lida-howell-1
1904,ARC,womens-double-columbia-round,Silver,USA,Emma Cooke,emma-cooke-1
1904,ARC,womens-double-columbia-round,Bronze,USA,Eliza Pollock,eliza-pollock-1
1908,ARC,womens-double-national-round,Gold,GBR,Sybil Newall,sybil-newall-1
1908,ARC,womens-double-national-round,Silver,GBR,Lottie Dod,lottie-dod-1
1908,ARC,womens-double-national-round,Bronze,GBR,Beatrice Hill-Lowe,beatrice-hill-lowe-1
1904,ARC,womens-double-national-round,Gold,USA,Lida Howell,lida-howell-1
1904,ARC,womens-double-national-round,Silver,USA,Emma Cooke,emma-cooke-1
1904,ARC,womens-double-national-round,Bronze,USA,Eliza Pollock,eliza-pollock-1
2012,ARC,womens-individual,Gold,KOR,Ki Bo-Bae,ki-bo-bae-1
2012,ARC,womens-individual,Silver,MEX,AÃ­da RomÃ¡n,aida-roman-1
2012,ARC,womens-individual,Bronze,MEX,Mariana Avitia,mariana-avitia-1
2008,ARC,womens-individual,Gold,CHN,Zhang Juanjuan,zhang-juanjuan-1
2008,ARC,womens-individual,Silver,KOR,Park Seong-Hyeon,park-seong-hyeon-1
2008,ARC,womens-individual,Bronze,KOR,Yun Ok-Hui,yun-ok-hui-1
2004,ARC,womens-individual,Gold,KOR,Park Seong-Hyeon,park-seong-hyeon-1
2004,ARC,womens-individual,Silver,KOR,Lee Seong-Jin,lee-seong-jin-1
2004,ARC,womens-individual,Bronze,GBR,Alison Williamson,alison-williamson-1
2000,ARC,womens-individual,Gold,KOR,Yun Mi-Jin,yun-mi-jin-1
2000,ARC,womens-individual,Silver,KOR,Kim Nam-Sun,kim-nam-sun-2
2000,ARC,womens-individual,Bronze,KOR,Kim Su-Nyeong,kim-su-nyeong-1
1996,ARC,womens-individual,Gold,KOR,Kim Gyeong-Uk,kim-gyeong-uk-1
1996,ARC,womens-individual,Silver,CHN,He Ying,he-ying-1
1996,ARC,womens-individual,Bronze,UKR,Olena Sadovnycha,olena-sadovnycha-1
1992,ARC,womens-individual,Gold,KOR,Cho Yun-Jeong,cho-yun-jeong-1
1992,ARC,womens-individual,Silver,KOR,Kim Su-Nyeong,kim-su-nyeong-1
1992,ARC,womens-individual,Bronze,EUN,Natalia Valeeva,natalia-valeeva-1
1988,ARC,womens-individual,Gold,KOR,Kim Su-Nyeong,kim-su-nyeong-1
1988,ARC,womens-individual,Silver,KOR,Wang Hui-Gyeong,wang-hui-gyeong-1
1988,ARC,womens-individual,Bronze,KOR,Yun Yeong-Suk,yun-yeong-suk-1
1984,ARC,womens-individual,Gold,KOR,Seo Hyang-Sun,seo-hyang-sun-1
1984,ARC,womens-individual,Silver,CHN,Li Lingjuan,li-lingjuan-1
1984,ARC,womens-individual,Bronze,KOR,Kim Jin-Ho,kim-jin-ho-1
1980,ARC,womens-individual,Gold,URS,Ketevan Losaberidze,ketevan-losaberidze-1
1980,ARC,womens-individual,Silver,URS,Nataliya Butuzova,nataliya-butuzova-1
1980,ARC,womens-individual,Bronze,FIN,PÃ¤ivi Meriluoto-Aaltonen,paivi-meriluoto-aaltonen-1
1976,ARC,womens-individual,Gold,USA,Luann Ryon,luann-ryon-1
1976,ARC,womens-individual,Silver,URS,Valentyna Kovpan,valentyna-kovpan-1
1976,ARC,womens-individual,Bronze,URS,Zebinisso Rustamova,zebinisso-rustamova-1
1972,ARC,womens-individual,Gold,USA,Doreen Wilber,doreen-wilber-1
1972,ARC,womens-individual,Silver,POL,Irena SzydÅowska,irena-szydlowska-1
1972,ARC,womens-individual,Bronze,URS,Emma Gapchenko,emma-gapchenko-1
1904,ARC,womens-team-round,Gold,USA,United States,
2012,ARC,womens-team,Gold,KOR,South Korea,
2012,ARC,womens-team,Silver,CHN,China,
2012,ARC,womens-team,Bronze,JPN,Japan,
2008,ARC,womens-team,Gold,KOR,South Korea,
2008,ARC,womens-team,Silver,CHN,China,
2008,ARC,womens-team,Bronze,FRA,France,
2004,ARC,womens-team,Gold,KOR,South Korea,
2004,ARC,womens-team,Silver,CHN,China,
2004,ARC,womens-team,Bronze,TPE,Chinese Taipei,
2000,ARC,womens-team,Gold,KOR,South Korea,
2000,ARC,womens-team,Silver,UKR,Ukraine,
2000,ARC,womens-team,Bronze,GER,Germany,
1996,ARC,womens-team,Gold,KOR,South Korea,
1996,ARC,womens-team,Silver,GER,Germany,
1996,ARC,womens-team,Bronze,POL,Poland,
1992,ARC,womens-team,Gold,KOR,South Korea,
1992,ARC,womens-team,Silver,CHN,China,
1992,ARC,womens-team,Bronze,EUN,Unified Team,
1988,ARC,womens-team,Gold,KOR,South Korea,
1988,ARC,womens-team,Silver,INA,Indonesia,
1988,ARC,womens-team,Bronze,USA,United States,
1948,ART,mixed-architecture-architectural-designs,Gold,AUT,Adolf Hoch,adolf-hoch-1
1948,ART,mixed-architecture-architectural-designs,Silver,AUT,Alfred Rinesch,alfred-rinesch-1
1948,ART,mixed-architecture-architectural-designs,Bronze,SWE,Nils Olsson,nils-olsson-1
1936,ART,mixed-architecture-architectural-designs,Gold,AUT,Hermann Kutschera,hermann-kutschera-1
1936,ART,mixed-architecture-architectural-designs,Silver,GER,Walter March,walter-march-1
1936,ART,mixed-architecture-architectural-designs,Bronze,AUT,Herbert Kastinger,herbert-kastinger-1
1932,ART,mixed-architecture-architectural-designs,Gold,FRA,Pierre Bailly,pierre-bailly-1
1932,ART,mixed-architecture-architectural-designs,Silver,USA,John Russell Pope,john-russell-pope-1
1932,ART,mixed-architecture-architectural-designs,Bronze,GER,Richard Konwiarz,richard-konwiarz-1
1928,ART,mixed-architecture-architectural-designs,Gold,NED,Jan Wils,jan-wils-1
1928,ART,mixed-architecture-architectural-designs,Silver,DEN,Ejnar Mindedal Rasmussen,ejnar-mindedal-rasmussen-1
1928,ART,mixed-architecture-architectural-designs,Bronze,FRA,Jacques Lambert,jacques-lambert-1
1948,ART,mixed-architecture-designs-for-town-planning,Gold,FIN,YrjÃ¶ Lindegren,yrjo-lindegren-1
1948,ART,mixed-architecture-designs-for-town-planning,Silver,SUI,Edy Knupfer,edy-knupfer-1
1948,ART,mixed-architecture-designs-for-town-planning,Bronze,FIN,Ilmari NiemelÃ¤inen,ilmari-niemelainen-1
1936,ART,mixed-architecture-designs-for-town-planning,Gold,GER,Walter March,walter-march-1
1936,ART,mixed-architecture-designs-for-town-planning,Silver,USA,Charles Downing Lay,charles-downing-lay-1
1936,ART,mixed-architecture-designs-for-town-planning,Bronze,GER,Theodor NuÃbaum,theodor-nussbaum-1
1932,ART,mixed-architecture-designs-for-town-planning,Gold,GBR,John Hughes,john-hughes-1
1932,ART,mixed-architecture-designs-for-town-planning,Silver,DEN,Jens HoumÃ¸ller Klemmensen,jens-houmoller-klemmensen-1
1932,ART,mixed-architecture-designs-for-town-planning,Bronze,BEL,AndrÃ© Verbeke,andre-verbeke-1
1928,ART,mixed-architecture-designs-for-town-planning,Gold,GER,Alfred Hensel,alfred-hensel-1
1928,ART,mixed-architecture-designs-for-town-planning,Silver,FRA,Jacques Lambert,jacques-lambert-1
1928,ART,mixed-architecture-designs-for-town-planning,Bronze,GER,Max Laeuger,max-laeuger-1
1924,ART,mixed-architecture,Silver,HUN,DezsÅ Lauber,dezso-lauber-1
1924,ART,mixed-architecture,Bronze,MON,Julien MÃ©dÃ©cin,julien-medecin-1
1920,ART,mixed-architecture,Silver,NOR,Holger Sinding-Larsen,holger-sinding-larsen-1
1912,ART,mixed-architecture,Gold,SUI,Alphonse LaverriÃ¨re,alphonse-laverriere-1
1928,ART,mixed-literature-dramatic-works,Silver,ITA,Lauro De Bosis,lauro-de-bosis-1
1948,ART,mixed-literature-epic-works,Gold,ITA,Giani StÃ¹parich,giani-stuparich-1
1948,ART,mixed-literature-epic-works,Silver,DEN,Josef Petersen,josef-petersen-1
1948,ART,mixed-literature-epic-works,Bronze,HUN,Ãva FÃ¶ldes,eva-foldes-1
1936,ART,mixed-literature-epic-works,Gold,FIN,Urho KarhumÃ¤ki,urho-karhumaki-1
1936,ART,mixed-literature-epic-works,Silver,GER,Wilhelm Ehmer,wilhelm-ehmer-1
1936,ART,mixed-literature-epic-works,Bronze,POL,Jan Parandowski,jan-parandowski-1
