Year,Sport,Discipline,Medal,Country,Author,AuthorId
2000,CYC,womens-sprint,Bronze,UKR,Iryna Yanovych,iryna-yanovych-1
1996,CYC,womens-sprint,Gold,FRA,FÃ©licia Ballanger,felicia-ballanger-1
1996,CYC,womens-sprint,Silver,AUS,Michelle Ferris,michelle-ferris-1
1996,CYC,womens-sprint,Bronze,NED,Ingrid Haringa,ingrid-haringa-1
1992,CYC,womens-sprint,Gold,EST,Erika SalumÃ¤e,erika-salumae-1
1992,CYC,womens-sprint,Silver,GER,Annett Neumann,annett-neumann-1
1992,CYC,womens-sprint,Bronze,NED,Ingrid Haringa,ingrid-haringa-1
1988,CYC,womens-sprint,Gold,URS,Erika SalumÃ¤e,erika-salumae-1
1988,CYC,womens-sprint,Silver,GDR,Christa Rothenburger-Luding,christa-rothenburger-luding-1
1988,CYC,womens-sprint,Bronze,USA,Connie Paraskevin-Young,connie-paraskevin-young-1
2012,CYC,womens-team-pursuit-3000-metres,Gold,GBR,Great Britain,
2012,CYC,womens-team-pursuit-3000-metres,Silver,USA,United States,
2012,CYC,womens-team-pursuit-3000-metres,Bronze,CAN,Canada,
2012,CYC,womens-team-sprint,Gold,GER,Germany,
2012,CYC,womens-team-sprint,Silver,CHN,China,
2012,CYC,womens-team-sprint,Bronze,AUS,Australia,
1924,DIV,mens-plain-high,Gold,AUS,Dick Eve,dick-eve-1
1924,DIV,mens-plain-high,Silver,SWE,Johan Jansson,johan-jansson-1
1924,DIV,mens-plain-high,Bronze,GBR,Harold Clarke,harold-clarke-1
1920,DIV,mens-plain-high,Gold,SWE,Arvid Wallman,arvid-wallman-1
1920,DIV,mens-plain-high,Silver,SWE,Nils Skoglund,nils-skoglund-1
1920,DIV,mens-plain-high,Bronze,SWE,Johan Jansson,johan-jansson-1
1912,DIV,mens-plain-high,Gold,SWE,Erik Adlerz,erik-adlerz-1
1912,DIV,mens-plain-high,Silver,SWE,Hjalmar Johansson,hjalmar-johansson-1
1912,DIV,mens-plain-high,Bronze,SWE,Johan Jansson,johan-jansson-1
2012,DIV,mens-platform,Gold,USA,David Boudia,david-boudia-1
2012,DIV,mens-platform,Silver,CHN,Qiu Bo,qiu-bo-1
2012,DIV,mens-platform,Bronze,GBR,Tom Daley,tom-daley-1
2008,DIV,mens-platform,Gold,AUS,Matt Mitcham,matt-mitcham-1
2008,DIV,mens-platform,Silver,CHN,Zhou Luxin,zhou-luxin-1
2008,DIV,mens-platform,Bronze,RUS,Gleb Galperin,gleb-galperin-1
2004,DIV,mens-platform,Gold,CHN,Hu Jia,hu-jia-1
2004,DIV,mens-platform,Silver,AUS,Mathew Helm,mathew-helm-1
2004,DIV,mens-platform,Bronze,CHN,Tian Liang,tian-liang-1
2000,DIV,mens-platform,Gold,CHN,Tian Liang,tian-liang-1
2000,DIV,mens-platform,Silver,CHN,Hu Jia,hu-jia-1
2000,DIV,mens-platform,Bronze,RUS,Dmitry Sautin,dmitry-sautin-1
1996,DIV,mens-platform,Gold,RUS,Dmitry Sautin,dmitry-sautin-1
1996,DIV,mens-platform,Silver,GER,Jan Hempel,jan-hempel-1
1996,DIV,mens-platform,Bronze,CHN,Xiao Hailiang,xiao-hailiang-1
1992,DIV,mens-platform,Gold,CHN,Sun Shuwei,sun-shuwei-1
1992,DIV,mens-platform,Silver,USA,Scott Donie,scott-donie-1
1992,DIV,mens-platform,Bronze,CHN,Xiong Ni,xiong-ni-1
1988,DIV,mens-platform,Gold,USA,Greg Louganis,greg-louganis-1
1988,DIV,mens-platform,Silver,CHN,Xiong Ni,xiong-ni-1
1988,DIV,mens-platform,Bronze,MEX,JesÃºs Mena,jesus-mena-1
1984,DIV,mens-platform,Gold,USA,Greg Louganis,greg-louganis-1
1984,DIV,mens-platform,Silver,USA,Bruce Kimball,bruce-kimball-1
1984,DIV,mens-platform,Bronze,CHN,Li Kongzheng,li-kongzheng-1
1980,DIV,mens-platform,Gold,GDR,Falk Hoffmann,falk-hoffmann-1
1980,DIV,mens-platform,Silver,URS,Vladimir Aleynik,vladimir-aleynik-1
1980,DIV,mens-platform,Bronze,URS,Davit Hambardzumyan,davit-hambardzumyan-1
1976,DIV,mens-platform,Gold,ITA,Klaus Dibiasi,klaus-dibiasi-1
1976,DIV,mens-platform,Silver,USA,Greg Louganis,greg-louganis-1
1976,DIV,mens-platform,Bronze,URS,Vladimir Aleynik,vladimir-aleynik-1
1972,DIV,mens-platform,Gold,ITA,Klaus Dibiasi,klaus-dibiasi-1
1972,DIV,mens-platform,Silver,USA,Dick Rydze,dick-rydze-1
1972,DIV,mens-platform,Bronze,ITA,Franco Cagnotto,franco-cagnotto-1
1968,DIV,mens-platform,Gold,ITA,Klaus Dibiasi,klaus-dibiasi-1
1968,DIV,mens-platform,Silver,MEX,Ãlvaro Gaxiola,alvaro-gaxiola-1
1968,DIV,mens-platform,Bronze,USA,Win Young,win-young-1
1964,DIV,mens-platform,Gold,USA,Bob Webster,bob-webster-1
1964,DIV,mens-platform,Silver,ITA,Klaus Dibiasi,klaus-dibiasi-1
1964,DIV,mens-platform,Bronze,USA,Tom Gompf,tom-gompf-1
1960,DIV,mens-platform,Gold,USA,Bob Webster,bob-webster-1
1960,DIV,mens-platform,Silver,USA,Gary Tobian,gary-tobian-1
1960,DIV,mens-platform,Bronze,GBR,Brian Phelps,brian-phelps-1
1956,DIV,mens-platform,Gold,MEX,JoaquÃ­n Capilla,joaquin-capilla-1
1956,DIV,mens-platform,Silver,USA,Gary Tobian,gary-tobian-1
1956,DIV,mens-platform,Bronze,USA,Dick Connor,dick-connor-1
1952,DIV,mens-platform,Gold,USA,Sammy Lee,sammy-lee-1
1952,DIV,mens-platform,Silver,MEX,JoaquÃ­n Capilla,joaquin-capilla-1
1952,DIV,mens-platform,Bronze,GER,GÃ¼nther Haase,gunther-haase-1
1948,DIV,mens-platform,Gold,USA,Sammy Lee,sammy-lee-1
1948,DIV,mens-platform,Silver,USA,Bruce Harlan,bruce-harlan-1
1948,DIV,mens-platform,Bronze,MEX,JoaquÃ­n Capilla,joaquin-capilla-1
1936,DIV,mens-platform,Gold,USA,Marshall Wayne,marshall-wayne-1
1936,DIV,mens-platform,Silver,USA,Elbert Root,elbert-root-1
1936,DIV,mens-platform,Bronze,GER,Hermann Stork,hermann-stork-1
1932,DIV,mens-platform,Gold,USA,Harold Smith,harold-smith-1
1932,DIV,mens-platform,Silver,USA,Mickey Galitzen,mickey-galitzen-1
1932,DIV,mens-platform,Bronze,USA,Frank Kurtz,frank-kurtz-1
1928,DIV,mens-platform,Gold,USA,Pete Desjardins,pete-desjardins-1
1928,DIV,mens-platform,Silver,EGY,Farid Simaika,farid-simaika-1
1928,DIV,mens-platform,Bronze,USA,Mickey Galitzen,mickey-galitzen-1
1924,DIV,mens-platform,Gold,USA,Al White,al-white-1
1924,DIV,mens-platform,Silver,USA,Dave Fall,dave-fall-1
1924,DIV,mens-platform,Bronze,USA,Bud Pinkston,bud-pinkston-1
1920,DIV,mens-platform,Gold,USA,Bud Pinkston,bud-pinkston-1
1920,DIV,mens-platform,Silver,SWE,Erik Adlerz,erik-adlerz-1
1920,DIV,mens-platform,Bronze,USA,Harry Prieste,harry-prieste-1
1912,DIV,mens-platform,Gold,SWE,Erik Adlerz,erik-adlerz-1
1912,DIV,mens-platform,Silver,GER,Albert ZÃ¼rner,albert-zurner-1
1912,DIV,mens-platform,Bronze,SWE,Gustaf Blomgren,gustaf-blomgren-1
1908,DIV,mens-platform,Gold,SWE,Hjalmar Johansson,hjalmar-johansson-1
1908,DIV,mens-platform,Silver,SWE,Karl MalmstrÃ¶m,karl-malmstrom-1
1908,DIV,mens-platform,Bronze,SWE,Arvid SpÃ¥ngberg,arvid-spangberg-1
1906,DIV,mens-platform,Gold,GER,Gottlob Walz,gottlob-walz-1
1906,DIV,mens-platform,Silver,GER,Georg Hoffmann,georg-hoffmann-1
1906,DIV,mens-platform,Bronze,AUT,Otto Satzinger,otto-satzinger-1
2012,DIV,mens-springboard,Gold,RUS,Ilya Zakharov,ilya-zakharov-1
2012,DIV,mens-springboard,Silver,CHN,Qin Kai,qin-kai-1
2012,DIV,mens-springboard,Bronze,CHN,He Chong,he-chong-1
2008,DIV,mens-springboard,Gold,CHN,He Chong,he-chong-1
2008,DIV,mens-springboard,Silver,CAN,Alexandre Despatie,alexandre-despatie-1
2008,DIV,mens-springboard,Bronze,CHN,Qin Kai,qin-kai-1
2004,DIV,mens-springboard,Gold,CHN,Peng Bo,peng-bo-2
2004,DIV,mens-springboard,Silver,CAN,Alexandre Despatie,alexandre-despatie-1
2004,DIV,mens-springboard,Bronze,RUS,Dmitry Sautin,dmitry-sautin-1
2000,DIV,mens-springboard,Gold,CHN,Xiong Ni,xiong-ni-1
2000,DIV,mens-springboard,Silver,MEX,Fernando Platas,fernando-platas-1
2000,DIV,mens-springboard,Bronze,RUS,Dmitry Sautin,dmitry-sautin-1
1996,DIV,mens-springboard,Gold,CHN,Xiong Ni,xiong-ni-1
1996,DIV,mens-springboard,Silver,CHN,Yu Zhuocheng,yu-zhuocheng-1
1996,DIV,mens-springboard,Bronze,USA,Mark Lenzi,mark-lenzi-1
1992,DIV,mens-springboard,Gold,USA,Mark Lenzi,mark-lenzi-1
1992,DIV,mens-springboard,Silver,CHN,Tan Liangde,tan-liangde-1
1992,DIV,mens-springboard,Bronze,EUN,Dmitry Sautin,dmitry-sautin-1
1988,DIV,mens-springboard,Gold,USA,Greg Louganis,greg-louganis-1
1988,DIV,mens-springboard,Silver,CHN,Tan Liangde,tan-liangde-1
1988,DIV,mens-springboard,Bronze,CHN,Li Deliang,li-deliang-1
1984,DIV,mens-springboard,Gold,USA,Greg Louganis,greg-louganis-1
1984,DIV,mens-springboard,Silver,CHN,Tan Liangde,tan-liangde-1
1984,DIV,mens-springboard,Bronze,USA,Ron Merriott,ron-merriott-1
1980,DIV,mens-springboard,Gold,URS,Aleksandr Portnov,aleksandr-portnov-1
1980,DIV,mens-springboard,Silver,MEX,Carlos GirÃ³n,carlos-giron-1
1980,DIV,mens-springboard,Bronze,ITA,Franco Cagnotto,franco-cagnotto-1
1976,DIV,mens-springboard,Gold,USA,Phil Boggs,phil-boggs-1
1976,DIV,mens-springboard,Silver,ITA,Franco Cagnotto,franco-cagnotto-1
1976,DIV,mens-springboard,Bronze,URS,Aleksandr Kosenkov,aleksandr-kosenkov-1
1972,DIV,mens-springboard,Gold,URS,Vladimir Vasin,vladimir-vasin-1
1972,DIV,mens-springboard,Silver,ITA,Franco Cagnotto,franco-cagnotto-1
1972,DIV,mens-springboard,Bronze,USA,Craig Lincoln,craig-lincoln-1
1968,DIV,mens-springboard,Gold,USA,Bernie Wrightson,bernie-wrightson-1
1968,DIV,mens-springboard,Silver,ITA,Klaus Dibiasi,klaus-dibiasi-1
1968,DIV,mens-springboard,Bronze,USA,Jim Henry,jim-henry-2
1964,DIV,mens-springboard,Gold,USA,Ken Sitzberger,ken-sitzberger-1
1964,DIV,mens-springboard,Silver,USA,Frank Gorman,frank-gorman-1
1964,DIV,mens-springboard,Bronze,USA,Larry Andreasen,larry-andreasen-1
1960,DIV,mens-springboard,Gold,USA,Gary Tobian,gary-tobian-1
1960,DIV,mens-springboard,Silver,USA,Sam Hall,sam-hall-1
1960,DIV,mens-springboard,Bronze,MEX,Juan Botella,juan-botella-1
1956,DIV,mens-springboard,Gold,USA,Bob Clotworthy,bob-clotworthy-1
1956,DIV,mens-springboard,Silver,USA,Don Harper,don-harper-1
1956,DIV,mens-springboard,Bronze,MEX,JoaquÃ­n Capilla,joaquin-capilla-1
1952,DIV,mens-springboard,Gold,USA,Skippy Browning,skippy-browning-1
1952,DIV,mens-springboard,Silver,USA,Miller Anderson,miller-anderson-1
1952,DIV,mens-springboard,Bronze,USA,Bob Clotworthy,bob-clotworthy-1
1948,DIV,mens-springboard,Gold,USA,Bruce Harlan,bruce-harlan-1
1948,DIV,mens-springboard,Silver,USA,Miller Anderson,miller-anderson-1
1948,DIV,mens-springboard,Bronze,USA,Sammy Lee,sammy-lee-1
1936,DIV,mens-springboard,Gold,USA,Dick Degener,dick-degener-1
1936,DIV,mens-springboard,Silver,USA,Marshall Wayne,marshall-wayne-1
1936,DIV,mens-springboard,Bronze,USA,Al Greene,al-greene-1
1932,DIV,mens-springboard,Gold,USA,Mickey Galitzen,mickey-galitzen-1
1932,DIV,mens-springboard,Silver,USA,Harold Smith,harold-smith-1
1932,DIV,mens-springboard,Bronze,USA,Dick Degener,dick-degener-1
1928,DIV,mens-springboard,Gold,USA,Pete Desjardins,pete-desjardins-1
1928,DIV,mens-springboard,Silver,USA,Mickey Galitzen,mickey-galitzen-1
1928,DIV,mens-springboard,Bronze,EGY,Farid Simaika,farid-simaika-1
1924,DIV,mens-springboard,Gold,USA,Al White,al-white-1
1924,DIV,mens-springboard,Silver,USA,Pete Desjardins,pete-desjardins-1
1924,DIV,mens-springboard,Bronze,USA,Bud Pinkston,bud-pinkston-1
1920,DIV,mens-springboard,Gold,USA,Lou Kuehn,lou-kuehn-1
1920,DIV,mens-springboard,Silver,USA,Bud Pinkston,bud-pinkston-1
1920,DIV,mens-springboard,Bronze,USA,Louis Balbach,louis-balbach-1
1912,DIV,mens-springboard,Gold,GER,Paul GÃ¼nther,paul-gunther-1
1912,DIV,mens-springboard,Silver,GER,Hans Luber,hans-luber-1
1912,DIV,mens-springboard,Bronze,GER,Kurt Behrens,kurt-behrens-1
1908,DIV,mens-springboard,Gold,GER,Albert ZÃ¼rner,albert-zurner-1
1908,DIV,mens-springboard,Silver,GER,Kurt Behrens,kurt-behrens-1
1908,DIV,mens-springboard,Bronze,GER,Gottlob Walz,gottlob-walz-1
1904,DIV,mens-springboard,Gold,USA,George Sheldon,george-sheldon-1
1904,DIV,mens-springboard,Silver,GER,Georg Hoffmann,georg-hoffmann-1
1904,DIV,mens-springboard,Bronze,USA,Frank Kehoe,frank-kehoe-1
2012,DIV,mens-synchronized-platform,Gold,CHN,China,
2012,DIV,mens-synchronized-platform,Silver,MEX,Mexico,
2012,DIV,mens-synchronized-platform,Bronze,USA,United States,
2008,DIV,mens-synchronized-platform,Gold,CHN,China,
2008,DIV,mens-synchronized-platform,Silver,GER,Germany,
2008,DIV,mens-synchronized-platform,Bronze,RUS,Russia,
2004,DIV,mens-synchronized-platform,Gold,CHN,China,
2004,DIV,mens-synchronized-platform,Silver,GBR,Great Britain,
2004,DIV,mens-synchronized-platform,Bronze,AUS,Australia,
2000,DIV,mens-synchronized-platform,Gold,RUS,Russia,
2000,DIV,mens-synchronized-platform,Silver,CHN,China,
2000,DIV,mens-synchronized-platform,Bronze,GER,Germany,
2012,DIV,mens-synchronized-springboard,Gold,CHN,China,
2012,DIV,mens-synchronized-springboard,Silver,RUS,Russia,
2012,DIV,mens-synchronized-springboard,Bronze,USA,United States,
2008,DIV,mens-synchronized-springboard,Gold,CHN,China,
2008,DIV,mens-synchronized-springboard,Silver,RUS,Russia,
2008,DIV,mens-synchronized-springboard,Bronze,UKR,Ukraine,
2004,DIV,mens-synchronized-springboard,Gold,GRE,Greece,
2004,DIV,mens-synchronized-springboard,Silver,GER,Germany,
2004,DIV,mens-synchronized-springboard,Bronze,AUS,Australia,
2000,DIV,mens-synchronized-springboard,Gold,CHN,China,
2000,DIV,mens-synchronized-springboard,Silver,RUS,Russia,
2000,DIV,mens-synchronized-springboard,Bronze,AUS,Australia,
1924,DIV,womens-plain-high,Gold,USA,Carol Smith,carol-smith-1
1924,DIV,womens-plain-high,Silver,USA,Betty Becker-Pinkston,betty-becker-pinkston-1
1924,DIV,womens-plain-high,Bronze,SWE,HjÃ¶rdis TÃ¶pel,hjordis-topel-1
1920,DIV,womens-plain-high,Gold,DEN,Stefanie Clausen,stefanie-clausen-1
1920,DIV,womens-plain-high,Silver,GBR,Eileen Armstrong,eileen-armstrong-1
1920,DIV,womens-plain-high,Bronze,SWE,Ewa Olliwier,ewa-olliwier-1
1912,DIV,womens-plain-high,Gold,SWE,Greta Johansson,greta-johansson-1
1912,DIV,womens-plain-high,Silver,SWE,Lisa Regnell,lisa-regnell-1
1912,DIV,womens-plain-high,Bronze,GBR,Belle White,belle-white-1
2012,DIV,womens-platform,Gold,CHN,Chen Ruolin,chen-ruolin-1
2012,DIV,womens-platform,Silver,AUS,Brittany Broben,brittany-broben-1
2012,DIV,womens-platform,Bronze,MAS,Pandelela Rinong,pandelela-rinong-1
2008,DIV,womens-platform,Gold,CHN,Chen Ruolin,chen-ruolin-1
2008,DIV,womens-platform,Silver,CAN,Emilie Heymans,emilie-heymans-1
2008,DIV,womens-platform,Bronze,CHN,Wang Xin,wang-xin-1
2004,DIV,womens-platform,Gold,AUS,Chantelle Michell-Newbery,chantelle-michell-newbery-1
2004,DIV,womens-platform,Silver,CHN,Lao Lishi,lao-lishi-1
2004,DIV,womens-platform,Bronze,AUS,Loudy Tourky-Wiggins,loudy-tourky-wiggins-1
2000,DIV,womens-platform,Gold,USA,Laura Wilkinson,laura-wilkinson-1
2000,DIV,womens-platform,Silver,CHN,Li Na,li-na-1
2000,DIV,womens-platform,Bronze,CAN,Anne Montminy,anne-montminy-1
1996,DIV,womens-platform,Gold,CHN,Fu Mingxia,fu-mingxia-1
1996,DIV,womens-platform,Silver,GER,Annika Walter,annika-walter-1
1996,DIV,womens-platform,Bronze,USA,Mary Ellen Clark,mary-ellen-clark-1
1992,DIV,womens-platform,Gold,CHN,Fu Mingxia,fu-mingxia-1
1992,DIV,womens-platform,Silver,EUN,Yelena Miroshina,yelena-miroshina-1
1992,DIV,womens-platform,Bronze,USA,Mary Ellen Clark,mary-ellen-clark-1
1988,DIV,womens-platform,Gold,CHN,Xu Yanmei,xu-yanmei-1
1988,DIV,womens-platform,Silver,USA,Michele Mitchell,michele-mitchell-1
1988,DIV,womens-platform,Bronze,USA,Wendy Lian Williams,wendy-lian-williams-1
1984,DIV,womens-platform,Gold,CHN,Zhou Jihong,zhou-jihong-1
1984,DIV,womens-platform,Silver,USA,Michele Mitchell,michele-mitchell-1
1984,DIV,womens-platform,Bronze,USA,Wendy Wyland,wendy-wyland-1
1980,DIV,womens-platform,Gold,GDR,Martina JÃ¤schke,martina-jaschke-1
1980,DIV,womens-platform,Silver,URS,Silva Emirzyan,silva-emirzyan-1
1980,DIV,womens-platform,Bronze,URS,Liana Tsot'adze,liana-tsotadze-1
1976,DIV,womens-platform,Gold,URS,Yelena Vaytsekhovskaya,yelena-vaytsekhovskaya-1
1976,DIV,womens-platform,Silver,SWE,Ulrika Knape,ulrika-knape-1
1976,DIV,womens-platform,Bronze,USA,Debbie Wilson,debbie-wilson-1
1972,DIV,womens-platform,Gold,SWE,Ulrika Knape,ulrika-knape-1
1972,DIV,womens-platform,Silver,TCH,Milena DuchkovÃ¡,milena-duchkova-1
1972,DIV,womens-platform,Bronze,GDR,Marina Janicke,marina-janicke-1
1968,DIV,womens-platform,Gold,TCH,Milena DuchkovÃ¡,milena-duchkova-1
1968,DIV,womens-platform,Silver,URS,Nataliya Kuznetsova-Lobanova,nataliya-kuznetsova-lobanova-1
1968,DIV,womens-platform,Bronze,USA,Ann Peterson,ann-peterson-1
1964,DIV,womens-platform,Gold,USA,Lesley Bush,lesley-bush-1
1964,DIV,womens-platform,Silver,GER,Ingrid Gulbin-Engel-KrÃ¤mer,ingrid-gulbin-engel-kramer-1
1964,DIV,womens-platform,Bronze,URS,Galina Alekseyeva,galina-alekseyeva-1
1960,DIV,womens-platform,Gold,GER,Ingrid Gulbin-Engel-KrÃ¤mer,ingrid-gulbin-engel-kramer-1
1960,DIV,womens-platform,Silver,USA,Paula Jean Myers-Pope,paula-jean-myers-pope-1
1960,DIV,womens-platform,Bronze,URS,Ninel Krutova,ninel-krutova-1
1956,DIV,womens-platform,Gold,USA,Pat McCormick,pat-mccormick-1
1956,DIV,womens-platform,Silver,USA,Juno Stover-Irwin,juno-stover-irwin-1
1956,DIV,womens-platform,Bronze,USA,Paula Jean Myers-Pope,paula-jean-myers-pope-1
1952,DIV,womens-platform,Gold,USA,Pat McCormick,pat-mccormick-1
1952,DIV,womens-platform,Silver,USA,Paula Jean Myers-Pope,paula-jean-myers-pope-1
1952,DIV,womens-platform,Bronze,USA,Juno Stover-Irwin,juno-stover-irwin-1
1948,DIV,womens-platform,Gold,USA,Vicki Draves,vicki-draves-1
1948,DIV,womens-platform,Silver,USA,Patsy Elsener,patsy-elsener-1
1948,DIV,womens-platform,Bronze,DEN,Birte Christoffersen-Hanson,birte-christoffersen-hanson-1
1936,DIV,womens-platform,Gold,USA,Dorothy Poynton-Hill,dorothy-poynton-hill-1
1936,DIV,womens-platform,Silver,USA,Velma Dunn,velma-dunn-1
1936,DIV,womens-platform,Bronze,GER,KÃ¤the KÃ¶hler,kathe-kohler-1
1932,DIV,womens-platform,Gold,USA,Dorothy Poynton-Hill,dorothy-poynton-hill-1
1932,DIV,womens-platform,Silver,USA,Georgia Coleman,georgia-coleman-1
1932,DIV,womens-platform,Bronze,USA,Marion Roper,marion-roper-1
1928,DIV,womens-platform,Gold,USA,Betty Becker-Pinkston,betty-becker-pinkston-1
1928,DIV,womens-platform,Silver,USA,Georgia Coleman,georgia-coleman-1
1928,DIV,womens-platform,Bronze,SWE,Lala SjÃ¶qvist,lala-sjoqvist-1
2012,DIV,womens-springboard,Gold,CHN,Wu Minxia,wu-minxia-1
2012,DIV,womens-springboard,Silver,CHN,He Zi,he-zi-1
2012,DIV,womens-springboard,Bronze,MEX,Laura SÃ¡nchez,laura-sanchez-2
2008,DIV,womens-springboard,Gold,CHN,Guo Jingjing,guo-jingjing-1
2008,DIV,womens-springboard,Silver,RUS,Yuliya Pakhalina,yuliya-pakhalina-1
2008,DIV,womens-springboard,Bronze,CHN,Wu Minxia,wu-minxia-1
2004,DIV,womens-springboard,Gold,CHN,Guo Jingjing,guo-jingjing-1
2004,DIV,womens-springboard,Silver,CHN,Wu Minxia,wu-minxia-1
2004,DIV,womens-springboard,Bronze,RUS,Yuliya Pakhalina,yuliya-pakhalina-1
2000,DIV,womens-springboard,Gold,CHN,Fu Mingxia,fu-mingxia-1
2000,DIV,womens-springboard,Silver,CHN,Guo Jingjing,guo-jingjing-1
2000,DIV,womens-springboard,Bronze,GER,DÃ¶rte Lindner,dorte-lindner-1
1996,DIV,womens-springboard,Gold,CHN,Fu Mingxia,fu-mingxia-1
1996,DIV,womens-springboard,Silver,RUS,Irina Lashko,irina-lashko-1
1996,DIV,womens-springboard,Bronze,CAN,Annie Pelletier,annie-pelletier-1
1992,DIV,womens-springboard,Gold,CHN,Gao Min,gao-min-1
1992,DIV,womens-springboard,Silver,EUN,Irina Lashko,irina-lashko-1
1992,DIV,womens-springboard,Bronze,GER,Brita Baldus,brita-baldus-1
1988,DIV,womens-springboard,Gold,CHN,Gao Min,gao-min-1
1988,DIV,womens-springboard,Silver,CHN,Li Qing,li-qing-1
1988,DIV,womens-springboard,Bronze,USA,Kelly McCormick,kelly-mccormick-1
1984,DIV,womens-springboard,Gold,CAN,Sylvie Bernier,sylvie-bernier-1
1984,DIV,womens-springboard,Silver,USA,Kelly McCormick,kelly-mccormick-1
1984,DIV,womens-springboard,Bronze,USA,Christina Seufert,christina-seufert-1
1980,DIV,womens-springboard,Gold,URS,Irina Kalinina,irina-kalinina-1
1980,DIV,womens-springboard,Silver,GDR,Martina Proeber,martina-proeber-1
1980,DIV,womens-springboard,Bronze,GDR,Karin Guthke,karin-guthke-1
1976,DIV,womens-springboard,Gold,USA,Jennifer Chandler,jennifer-chandler-1
1976,DIV,womens-springboard,Silver,GDR,Christa KÃ¶hler,christa-kohler-1
1976,DIV,womens-springboard,Bronze,USA,Cynthia Potter-McIngvale,cynthia-potter-mcingvale-1
1972,DIV,womens-springboard,Gold,USA,Micki King,micki-king-1
1972,DIV,womens-springboard,Silver,SWE,Ulrika Knape,ulrika-knape-1
1972,DIV,womens-springboard,Bronze,GDR,Marina Janicke,marina-janicke-1
1968,DIV,womens-springboard,Gold,USA,Sue Gossick,sue-gossick-1
1968,DIV,womens-springboard,Silver,URS,Tamara Fedosova-Pogozheva-Safonova,tamara-fedosova-pogozheva-safonova-1
1968,DIV,womens-springboard,Bronze,USA,Keala O'Sullivan,keala-osullivan-1
1964,DIV,womens-springboard,Gold,GER,Ingrid Gulbin-Engel-KrÃ¤mer,ingrid-gulbin-engel-kramer-1
1964,DIV,womens-springboard,Silver,USA,Jeanne Collier,jeanne-collier-1
1964,DIV,womens-springboard,Bronze,USA,Patsy Willard,patsy-willard-1
1960,DIV,womens-springboard,Gold,GER,Ingrid Gulbin-Engel-KrÃ¤mer,ingrid-gulbin-engel-kramer-1
1960,DIV,womens-springboard,Silver,USA,Paula Jean Myers-Pope,paula-jean-myers-pope-1
1960,DIV,womens-springboard,Bronze,GBR,Liz Ferris,liz-ferris-1
1956,DIV,womens-springboard,Gold,USA,Pat McCormick,pat-mccormick-1
1956,DIV,womens-springboard,Silver,USA,Jeanne Stunyo,jeanne-stunyo-1
1956,DIV,womens-springboard,Bronze,CAN,Irene MacDonald,irene-macdonald-1
1952,DIV,womens-springboard,Gold,USA,Pat McCormick,pat-mccormick-1
1952,DIV,womens-springboard,Silver,FRA,Mady Moreau,mady-moreau-1
1952,DIV,womens-springboard,Bronze,USA,Zoe Ann Olsen-Jensen,zoe-ann-olsen-jensen-1
1948,DIV,womens-springboard,Gold,USA,Vicki Draves,vicki-draves-1
1948,DIV,womens-springboard,Silver,USA,Zoe Ann Olsen-Jensen,zoe-ann-olsen-jensen-1
1948,DIV,womens-springboard,Bronze,USA,Patsy Elsener,patsy-elsener-1
1936,DIV,womens-springboard,Gold,USA,Marjorie Gestring,marjorie-gestring-1
1936,DIV,womens-springboard,Silver,USA,Katherine Rawls,katherine-rawls-1
1936,DIV,womens-springboard,Bronze,USA,Dorothy Poynton-Hill,dorothy-poynton-hill-1
1932,DIV,womens-springboard,Gold,USA,Georgia Coleman,georgia-coleman-1
1932,DIV,womens-springboard,Silver,USA,Katherine Rawls,katherine-rawls-1
1932,DIV,womens-springboard,Bronze,USA,Jane Fauntz,jane-fauntz-1
1928,DIV,womens-springboard,Gold,USA,Helen Meany,helen-meany-1
1928,DIV,womens-springboard,Silver,USA,Dorothy Poynton-Hill,dorothy-poynton-hill-1
1928,DIV,womens-springboard,Bronze,USA,Georgia Coleman,georgia-coleman-1
1924,DIV,womens-springboard,Gold,USA,Betty Becker-Pinkston,betty-becker-pinkston-1
1924,DIV,womens-springboard,Silver,USA,Aileen Riggin,aileen-riggin-1
1924,DIV,womens-springboard,Bronze,USA,Carol Fletcher,carol-fletcher-1
1920,DIV,womens-springboard,Gold,USA,Aileen Riggin,aileen-riggin-1
1920,DIV,womens-springboard,Silver,USA,Helen Wainwright,helen-wainwright-1
1920,DIV,womens-springboard,Bronze,USA,Thelma Payne,thelma-payne-1
2012,DIV,womens-synchronized-platform,Gold,CHN,China,
2012,DIV,womens-synchronized-platform,Silver,MEX,Mexico,
2012,DIV,womens-synchronized-platform,Bronze,CAN,Canada,
2008,DIV,womens-synchronized-platform,Gold,CHN,China,
2008,DIV,womens-synchronized-platform,Silver,AUS,Australia,
2008,DIV,womens-synchronized-platform,Bronze,MEX,Mexico,
2004,DIV,womens-synchronized-platform,Gold,CHN,China,
2004,DIV,womens-synchronized-platform,Silver,RUS,Russia,
2004,DIV,womens-synchronized-platform,Bronze,CAN,Canada,
2000,DIV,womens-synchronized-platform,Gold,CHN,China,
2000,DIV,womens-synchronized-platform,Silver,CAN,Canada,
2000,DIV,womens-synchronized-platform,Bronze,AUS,Australia,
2012,DIV,womens-synchronized-springboard,Gold,CHN,China,
2012,DIV,womens-synchronized-springboard,Silver,USA,United States,
2012,DIV,womens-synchronized-springboard,Bronze,CAN,Canada,
